course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
CBT4PANIC. Overcome Panic & Anxiety attacks fast,516832,4.77,30022,1301,16 hours,English,Paid,Robin Hall,5753906,1,75,2015-06-02,2022-02-18,2599.0,449.0,All Levels,Health & Fitness,Anxiety Management,No,A complete professional Cognitive Behavioural Therapy (CBT) treatment plan for anxiety and panic disorder.,https://www.udemy.com/course/cbt4panic-cure-panic-anxiety-attacks-fast/,https://img-c.udemycdn.com/course/750x422/516832_d385.jpg
Crash Course 2 Keto - Ketosis Made Simple,1516694,5.0,5027,1289,2 hours,English,Paid,Dr. Brady Salcido,3026978,1,51,2018-01-28,2018-06-04,3399.0,449.0,Beginner Level,Health & Fitness,Ketogenic Diet,No,"Learn The Essentials of The Ketogenic Diet For Effortless Fat Loss, Mind-Blowing Energy, & Focus.",https://www.udemy.com/course/crashcourse2keto/,https://img-c.udemycdn.com/course/750x422/1516694_054a.jpg
Professional Accredited Yoga Teacher Training Diploma Course,1396184,4.16,6645,1287,1.5 hours,English,Paid,Dr Karen E Wells and Lisbeth Skovmand,"23345822, 22407398",2,17,2017-10-20,2021-06-05,3299.0,449.0,All Levels,Health & Fitness,Teacher Training,No,Full Certification Diploma Course to Learn the In depth techniques of Yoga to teach to Students & Groups!,https://www.udemy.com/course/professional-accredited-yoga-teacher-training-course/,https://img-c.udemycdn.com/course/750x422/1396184_5543.jpg
ACUPRESSURE - Miracle Points,1275668,4.0,17648,1268,38 mins,English,Paid,Annette Igoe,21960736,1,30,2017-07-07,2022-05-20,3499.0,449.0,All Levels,Health & Fitness,Acupressure,No,ACUPRESSURE - Miracle Point Formula - Receive an International Qualification in ACUPRESSURE THERAPY!,https://www.udemy.com/course/acupressures-miracle-points/,https://img-c.udemycdn.com/course/750x422/1275668_2e73_3.jpg
Internationally Accredited Diploma in Weight Loss,1580124,4.56,13996,1260,9.5 hours,English,Paid,Akash Sehrawat and Fabulous Body and Teaching Assistant,"22973584, 82467986, 82470196",3,125,2018-03-10,2021-12-26,3499.0,449.0,All Levels,Health & Fitness,Weight Loss,No,"Learn the science, habits, strategies to lose weight in a healthy manner and keep it off permanently",https://www.udemy.com/course/internationally-accredited-diploma-in-weight-loss/,https://img-c.udemycdn.com/course/750x422/1580124_f923.jpg
Yoga for Back Pain Relief & Prevention-Certification Course,1278290,4.56,9659,1242,14.5 hours,English,Paid,Yoga Instructor Seva Samadhi,20192758,1,145,2017-11-13,2021-04-30,3999.0,499.0,All Levels,Health & Fitness,Yoga,No,The SAFE WAY to do Yoga for Back Pain!Alleviate your Pain & Strengthen your Spine with Yoga! INCLUDES 2 CERTIFICATES,https://www.udemy.com/course/yoga-for-spinal-health-lower-back-pain-relief/,https://img-c.udemycdn.com/course/750x422/1278290_f5ad_12.jpg
Ayurveda Basics,264788,4.4,5189,1202,8 hours,English,Paid,Janet M,2646376,1,73,2014-08-05,2019-07-12,3399.0,449.0,All Levels,Health & Fitness,Ayurveda,No,"Make better lifestyle and food choices with the ""Age Old Wisdom"" of Ayurveda, yoga's sister science.",https://www.udemy.com/course/ayurveda101/,https://img-c.udemycdn.com/course/750x422/264788_e62d_7.jpg
Meditation for Beginners: How to Meditate Deeply & Quickly,567538,4.8,20888,1167,3 hours,English,Paid,Ken Wells,8036240,1,33,2015-08-26,2018-08-09,3499.0,449.0,Beginner Level,Health & Fitness,Meditation,No,"Meditation Techniques to Relieve Stress, Anxiety & Improve Your Health in 5 Minutes per Day - Learn Meditation Easily",https://www.udemy.com/course/meditation-for-beginners-learn-to-be-free-from-anxiety-now/,https://img-c.udemycdn.com/course/750x422/567538_df77_2.jpg
Taoist Meditation Course & Guided Meditation,1575904,4.72,4532,1131,1 hour,English,Paid,Master Gu,44901058,1,5,2018-03-23,2020-07-23,1999.0,1999.0,All Levels,Health & Fitness,Meditation,No,"Master Gu, Taoist Wellness Master from the Wudang Mountains, teaches Taoist meditation",https://www.udemy.com/course/taoist-meditation-course-taoism-guided-meditation/,https://img-c.udemycdn.com/course/750x422/1575904_c5cc.jpg
Herbalism :: Essential First Aid Remedies Certificate,652906,4.61,7535,1127,37 mins,English,Paid,Elizabeth Heck,13395630,1,18,2015-11-01,2021-02-21,2299.0,449.0,All Levels,Health & Fitness,First Aid,Yes,"Be prepared by equipping your first aid kit with important herbs, herbal medicine & natural medicine that you need.",https://www.udemy.com/course/home-remedies-for-the-first-aid-kit/,https://img-c.udemycdn.com/course/750x422/652906_e634.jpg
Providing Trauma-Informed Care,660344,4.65,3187,1121,2 hours,English,Paid,Donn Kropp,539152,1,14,2015-11-05,2022-06-29,2899.0,449.0,All Levels,Health & Fitness,Trauma-Informed Care,Yes,Exploring psychological trauma and how to provide care and compassion to trauma survivors,https://www.udemy.com/course/trauma-informed-care/,https://img-c.udemycdn.com/course/750x422/660344_797d_4.jpg
Accredited Holistic Herbalism Diploma Course Herbal Medicine,3127044,4.54,4776,1118,3 hours,English,Paid,The Academy of Ancient Magik,18651996,1,60,2020-05-20,2022-09-10,3499.0,449.0,All Levels,Health & Fitness,Holistic Medicine,No,"Walk the path of the Herbalists of old, learn plant astrology, sacred earth festivals, plant lore, plant consciousness",https://www.udemy.com/course/accredited-holistic-herbalism-diploma-course-herbal-medicine/,https://img-c.udemycdn.com/course/750x422/3127044_2c72_2.jpg
Posturecise (Level 1) Create Healthy Posture Habits for Life,281000,4.61,8213,1092,2 hours,English,Paid,Posture Videos,7009550,1,45,2014-09-10,2022-08-29,1499.0,449.0,Beginner Level,Health & Fitness,Posture,No,How To Quickly And Painlessly Improve Your Posture By Learning The Posturecise Set of Simple Exercises And Actions!,https://www.udemy.com/course/posturecise-how-to-create-a-healthy-posture-habit-for-life/,https://img-c.udemycdn.com/course/750x422/281000_579e_2.jpg
Diploma Certificate in Dietary Supplements Advisor,1598366,4.21,6181,1086,3 hours,English,Paid,Akash Sehrawat and Fabulous Body and Teaching Assistant,"22973584, 82467986, 82470196",3,66,2018-03-27,2022-09-22,3499.0,449.0,All Levels,Health & Fitness,Nutrition,No,"Become an advisor/expert in selecting the best supplements for weight loss, muscle building and for good health",https://www.udemy.com/course/diploma-certificate-in-dietary-supplements-advisor/,https://img-c.udemycdn.com/course/750x422/1598366_e726.jpg
Herbalism :: Medicinal Kitchen Herbs & Spices Certificate,626076,4.72,7394,1086,1 hour,English,Paid,Elizabeth Heck,13395630,1,25,2015-10-27,2021-11-26,2299.0,499.0,All Levels,Health & Fitness,Herbalism,No,Discover how common kitchen herbs and spices are used as herbal medicine and natural medicine for ultimate health.,https://www.udemy.com/course/home-remedies-herbs-spices-as-medicine/,https://img-c.udemycdn.com/course/750x422/626076_2ade_3.jpg
Qi Gong: 30-Day Challenge with Lee Holden. 30 short workouts,3292618,4.82,3807,1080,4 hours,English,Paid,YMAA Publication Center,107581774,1,32,2020-07-22,2020-07-13,3499.0,449.0,Beginner Level,Health & Fitness,Qi Gong,No,"Bestselling qigong class in the world! Lee Holden is well-known from PBS, Sounds True and a bestselling series from YMAA",https://www.udemy.com/course/qi-gong-30-day-challenge-with-lee-holden-30-short-workouts/,https://img-c.udemycdn.com/course/750x422/3292618_fa0b_2.jpg
Learn Pilates: Classical Mat - Beginner to Advanced,626912,4.68,10512,1063,12 hours,English,Paid,Josie McKenlay,16320038,1,29,2015-11-02,2021-05-13,3399.0,449.0,All Levels,Health & Fitness,Pilates,No,"Pilates will transform your body, improve your posture, health & wellbeing, core strength, mobility and flexibility",https://www.udemy.com/course/pilates-a-new-body-in-30-sessions/,https://img-c.udemycdn.com/course/750x422/626912_5340_9.jpg
Specialized Certificate Course in Psychological Counseling,1457926,4.24,4095,1063,13 hours,English,Paid,iSapientific Studio,28965958,1,87,2018-02-05,2021-01-23,3499.0,449.0,All Levels,Health & Fitness,Counseling,No,The course develops your Practical Counseling Skills and Therapeutic Competencies,https://www.udemy.com/course/specialized-certificate-course-in-psychological-counseling/,https://img-c.udemycdn.com/course/750x422/1457926_99f7_2.jpg
200 Hours Yoga Teacher Training - Part 1 (Yoga Alliance),4638604,4.77,5118,1024,22 hours,English,Paid,Bodsphere - Health and Wellness,21674826,1,83,2022-05-29,2022-10-06,3499.0,449.0,All Levels,Health & Fitness,Yoga,Yes,Part 1 of Part 2 of our Internationally Accredited Certification Course by Yoga Alliance,https://www.udemy.com/course/200-hours-yoga-teacher-training-part-1-yoga-alliance/,https://img-c.udemycdn.com/course/750x422/4638604_2377.jpg
15 Minutes x 15 Days Yoga Flexibility Challenge,253326,4.55,7205,1025,4 hours,English,Paid,Abi Carver,353874,1,15,2014-07-17,2014-07-10,1499.0,449.0,All Levels,Health & Fitness,Yoga,No,"Improve your flexibility, reduce morning stiffness and alleviate recurring aches and pains in 15 minutes a day.",https://www.udemy.com/course/yoga-flexibility-challenge-15-min-x-15-day/,https://img-c.udemycdn.com/course/750x422/253326_a442_10.jpg
