course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
"Instagram Marketing 2022: Hashtags, Live, Stories, Ads &more",1692684,4.43,89551,9050,23 hours,English,Paid,Evan Kimbrell,18187,1,168,2018-10-24,2022-10-20,3499.0,449.0,All Levels,Marketing,Instagram Marketing,No,"Watch me take an account from an idea to 40k followers in 4 months. 14 hours instruction, 8 hours of BTS videos",https://www.udemy.com/course/instagram-masterclass-grow-your-account-complete-guide/,https://img-c.udemycdn.com/course/750x422/1692684_682b.jpg
ClickBank Success – Affiliate Marketing Without A Website,313360,4.37,42604,8547,3 hours,English,Paid,KC Tan,6059674,1,65,2014-10-05,2022-10-12,3499.0,449.0,All Levels,Marketing,Affiliate Marketing,No,Learn and model my proven system for success as a ClickBank affiliate. No hidden secrets - I reveal it all!,https://www.udemy.com/course/clickbank-affiliate-marketing-success/,https://img-c.udemycdn.com/course/750x422/313360_0668_3.jpg
Ultimate Google Analytics course + 50 practical examples,1710336,4.59,25591,7893,4.5 hours,English,Paid,Pavel Brecik,36147006,1,23,2018-07-24,2022-08-24,3499.0,449.0,All Levels,Marketing,Google Analytics,No,Practical Google Analytics course based on real experience including 50 practical examples + 100 quiz questions,https://www.udemy.com/course/ultimate-google-analytics-course-50-practical-tips/,https://img-c.udemycdn.com/course/750x422/1710336_799c_4.jpg
Seth Godin on Presenting to Persuade,1101380,4.39,19455,7673,1 hour,English,Paid,Seth Godin,12230048,1,10,2017-02-06,2017-02-08,1299.0,1299.0,All Levels,Marketing,Presentation Skills,Yes,"Build your business, make your point, sell your idea",https://www.udemy.com/course/seth-godin-on-powerful-presentations/,https://img-c.udemycdn.com/course/750x422/1101380_4d44.jpg
[2022] Growth Hacking with Digital Marketing (Version 7.4),496924,4.43,56983,7558,8 hours,English,Paid,Davis Jones and Eazl (Official) and Maja Voje,"6096074, 8481180, 9216574",3,83,2015-05-19,2021-12-27,3499.0,449.0,All Levels,Marketing,Growth Hacking,Yes,"Become a growth hacker! This course is used by teams at PayPal®, IBM®, Citibank® & many other successful organizations!",https://www.udemy.com/course/growth-hacking-masterclass-become-a-digital-marketing-ninja/,https://img-c.udemycdn.com/course/750x422/496924_8ed7_17.jpg
Copywriting secrets - How to write copy that sells,325666,4.51,41297,6127,3 hours,English,Paid,Sean Kaye,701386,1,39,2014-12-03,2018-04-20,3199.0,449.0,All Levels,Marketing,Copywriting,No,Discover the secrets of copywriting success from the master. From novice to pro in easy stages,https://www.udemy.com/course/copywriting-secrets/,https://img-c.udemycdn.com/course/750x422/325666_fe45_3.jpg
Social Media Management - The Complete 2019 Manager Bootcamp,1052730,4.44,23136,6068,8 hours,English,Paid,Lottie Mosley,14457320,1,88,2017-09-16,2018-04-09,3499.0,449.0,All Levels,Marketing,Social Media Management,No,Become a freelance social media manager | Start a management business | Work from anywhere | Achieve financial freedom,https://www.udemy.com/course/social-media-management-complete-manager-bootcamp/,https://img-c.udemycdn.com/course/750x422/1052730_e3b0_3.jpg
The Ultimate SEO Training 2022 + SEO For Wordpress Websites,2938000,4.71,26361,5597,14 hours,English,Paid,Joshua George and ClickSlice Ltd,"37939456, 142824542",2,137,2020-05-05,2022-10-17,3499.0,449.0,All Levels,Marketing,SEO,Yes,"SEO Training From An SEO Agency Owner: Step By Step Process To Rank #1 on Google. Keyword Research, Technical SEO & More",https://www.udemy.com/course/ultimate-seo-training-course/,https://img-c.udemycdn.com/course/750x422/2938000_f552_23.jpg
120 Digital Marketing Growth Hacks with Social Media,1675518,4.66,26896,5417,17.5 hours,English,Paid,Robin & Jesper,36921905,1,147,2018-05-07,2022-11-02,3399.0,449.0,All Levels,Marketing,Growth Hacking,No,"Digital Marketing Hacks for Growth and Performance with WordPress, SEO, Email, Content, Facebook, Youtube, Instagram....",https://www.udemy.com/course/digital-marketing-guide-secrets/,https://img-c.udemycdn.com/course/750x422/1675518_22bb_13.jpg
Complete SEO Training With Top SEO Expert Peter Kent!,521574,4.6,38354,5224,8 hours,English,Paid,Peter Kent,141986,1,158,2015-08-12,2018-03-04,3499.0,449.0,All Levels,Marketing,SEO,No,Win The SEO Game & Dominate The Search Engines With the Author of Best-Selling Search Engine Optimization for Dummies.,https://www.udemy.com/course/search-engine-optimization-for-beginners-seo-that-works/,https://img-c.udemycdn.com/course/750x422/521574_1325_11.jpg
Social Media Marketing - Content Marketing Masterclass 2022,959128,4.38,32178,5192,18.5 hours,English,Paid,Mark Timberlake and Philomena Timberlake,"8358994, 8673618",2,255,2016-09-22,2020-04-07,3499.0,449.0,Beginner Level,Marketing,Social Media Marketing,No,Online Digital Marketing / Social Media Strategy For Beginners - Posts / Blogs / Podcasts / Video / Google Local SEO,https://www.udemy.com/course/social-media-marketing-masterclass/,https://img-c.udemycdn.com/course/750x422/959128_f401_3.jpg
Business Branding: The Complete Course Part 1 - Strategy,2222324,4.59,19382,5050,3 hours,English,Paid,Steve Houraghan,25281360,1,44,2019-03-01,2019-11-03,3499.0,449.0,All Levels,Marketing,Business Branding,Yes,"Build A Strategic Brand From The Ground Up, To Catapult Your Marketing Impact",https://www.udemy.com/course/business-branding-complete-course/,https://img-c.udemycdn.com/course/750x422/2222324_1478_2.jpg
Business Fundamentals: Marketing Strategy,1333914,4.57,17859,5034,2 hours,English,Paid,365 Careers,8280056,1,41,2017-08-30,2021-01-26,3499.0,449.0,All Levels,Marketing,Marketing Strategy,No,Marketing Strategy Fundamentals: The Art Of Selling Your Products Through Superb Marketing Efforts,https://www.udemy.com/course/business-fundamentals-marketing-strategy/,https://img-c.udemycdn.com/course/750x422/1333914_3cf4_6.jpg
How to Create Animated Videos with Powerpoint,1460800,4.55,20776,4857,4.5 hours,English,Paid,Paul Nekh. | Business | Innovation | Video,15309000,1,70,2017-12-22,2022-11-03,3499.0,449.0,All Levels,Marketing,Video Creation,Yes,"Learn an easy way to create video animation with PowerPoint for business, marketing, online courses, YouTube and more",https://www.udemy.com/course/powerpoint-video/,https://img-c.udemycdn.com/course/750x422/1460800_303a_5.jpg
Digital Marketing Certification: Master Digital Marketing,2658548,4.07,138376,4755,3 hours,English,Paid,Alexandros Fatsis - Digital Marketing Professional,91000178,1,23,2020-01-10,2020-08-24,3499.0,449.0,All Levels,Marketing,Digital Marketing,No,Join Over 100.000 Students Who Have Already Learned All The Secrets of Digital Marketing. Be a Digital Marketing Expert!,https://www.udemy.com/course/digital-marketing-seo-google-ads-google-analytics-monitoring/,https://img-c.udemycdn.com/course/750x422/2658548_c93b_6.jpg
Modern Copywriting: Writing copy that sells in 2022,1466432,4.56,39975,4706,7 hours,English,Paid,Evan Kimbrell,18187,1,66,2018-03-29,2022-10-20,3499.0,449.0,All Levels,Marketing,Copywriting,No,Learn how to strategically deliver words that get people to take action using the art and science of copywriting.,https://www.udemy.com/course/modern-copywriting-writing-copy-that-sells-in-2018/,https://img-c.udemycdn.com/course/750x422/1466432_28c5.jpg
SEO Training Masterclass 2022: Beginner SEO To Advanced SEO,187246,4.62,80244,4606,18 hours,English,Paid,Alex Genadinik and Alex Genadinik's Teaching Assistant,"4116740, 78420320",2,265,2014-03-28,2022-10-06,2899.0,449.0,All Levels,Marketing,SEO,Yes,"SEO training for profitable SEO traffic! WordPress SEO, Yoast SEO, SEO keyword research, on-page SEO, link building SEO",https://www.udemy.com/course/seo-with-google-other-large-platforms-to-get-great-scale/,https://img-c.udemycdn.com/course/750x422/187246_fab1_10.jpg
Social Media Marketing Agency : Digital Marketing + Business,2344164,4.51,46849,4494,52 hours,English,Paid,Pouya Eti • Digital Marketing Expert,19739064,1,377,2019-06-16,2022-10-13,3499.0,449.0,All Levels,Marketing,Digital Marketing,Yes,"Learn to build a business, find clients, & social media marketing all in one. Facebook ads, Instagram, Google ads & ...",https://www.udemy.com/course/social-media-marketing-agency-digital-business-facebook-ads-instagram/,https://img-c.udemycdn.com/course/750x422/2344164_6fb8_9.jpg
Business Writing & Technical Writing Immersion,176138,4.43,31121,4309,4.5 hours,English,Paid,Starweaver Team and Paul Siegel,"3760400, 79939000",2,40,2014-03-05,2022-08-18,3399.0,449.0,All Levels,Marketing,Technical Writing,Yes,"How to plan, structure, outline, write, edit and deliver effective business and technical writing, perfectly every time.",https://www.udemy.com/course/business-writing-immersion/,https://img-c.udemycdn.com/course/750x422/176138_463f_4.jpg
Content Marketing Masterclass: Create Content That Sells,1667390,4.52,19523,4275,4 hours,English,Paid,Brad Merrill,11355780,1,94,2018-04-29,2021-01-11,3499.0,449.0,All Levels,Marketing,Content Marketing,Yes,"Master content marketing to grow your business: content creation, promotion, copywriting, SEO, email marketing, & more!",https://www.udemy.com/course/content-marketing-masterclass/,https://img-c.udemycdn.com/course/750x422/1667390_68bd_4.jpg
Blogging for a Living -  Perfect Small Budget Project,835336,4.52,25614,4213,12 hours,English,Paid,Theo McArthur,14368254,1,135,2016-10-24,2022-10-02,3499.0,449.0,All Levels,Marketing,Blogging,Yes,"Make a full-time living or much more. In depth step-by-step blogging blueprint. Evergreen, beginner friendly, and fun!",https://www.udemy.com/course/build-a-successful-blog-the-complete-blueprint-level-1/,https://img-c.udemycdn.com/course/750x422/835336_5dc5_9.jpg
SEO Training: Get Free Traffic to Your Website With SEO,365176,4.2,40191,4207,2.5 hours,English,Paid,Daragh Walsh,1800590,1,36,2015-02-08,2019-10-15,3499.0,449.0,All Levels,Marketing,SEO,No,"SEO Training to Rank #1 in Google. SEO Audit, Keyword Research, On Page SEO, Link Building, WordPress SEO & More!",https://www.udemy.com/course/seo-roadmap/,https://img-c.udemycdn.com/course/750x422/365176_1284_12.jpg
Writing Tools & Hacks: Copywriting/Blogging/Content Writing,1331661,4.17,22255,4203,1.5 hours,English,Paid,Tyler Speegle,35139190,1,33,2017-11-07,2022-05-06,3499.0,449.0,All Levels,Marketing,Writing,No,"The best FREE writing tools & apps + Hacks to take your copywriting, blogging, & content writing to the next level.",https://www.udemy.com/course/writing-tools-hacks/,https://img-c.udemycdn.com/course/750x422/1331661_87ad_2.jpg
Digital Advertising and Marketing 101: The Complete Guide,488130,4.35,12897,4114,1.5 hours,English,Paid,Ben Silverstein,21176,1,14,2015-07-20,2020-05-16,3499.0,449.0,All Levels,Marketing,Marketing Strategy,No,"Top Digital Marketing Course | Facebook Ads, Google/YouTube, Display/Video & more|Grow your career (German/Portuguese)",https://www.udemy.com/course/digital-advertising-marketing-101/,https://img-c.udemycdn.com/course/750x422/488130_e202_20.jpg
How Retargeting Works–The Complete Guide To Retargeting Ads!,821658,4.69,29437,4114,8.5 hours,English,Paid,Isaac Rudansky,17682090,1,43,2016-06-06,2016-06-13,3499.0,449.0,All Levels,Marketing,Retargeting,Yes,What Is Retargeting and How Does It Work? Learn Remarketing Secrets That Will Help You Convert Your Abandoning Visitors!,https://www.udemy.com/course/how-retargeting-works/,https://img-c.udemycdn.com/course/750x422/821658_b20b.jpg
2022 Complete SEO Guide to Ranking Local Business Websites,632826,4.58,28338,4047,6.5 hours,English,Paid,Christine Maisel and Portable Entrepreneur,"2618424, 102943733",2,121,2015-12-30,2022-10-10,3499.0,449.0,All Levels,Marketing,SEO,No,Watch over my shoulder as I redesign and rank a real live client local business website on the 1st page of Google,https://www.udemy.com/course/rank-local-business-websites/,https://img-c.udemycdn.com/course/750x422/632826_9159.jpg
Google Ads for Beginners,50735,4.54,28018,3921,3.5 hours,English,Paid,Corey Rabazinski,721567,1,49,2013-06-15,2018-07-03,3499.0,449.0,All Levels,Marketing,Google Ads (Adwords),No,Learn how to effectively use Google Ads to reach more customers online and grow your business.,https://www.udemy.com/course/learn-google-adwords-course-for-beginners/,https://img-c.udemycdn.com/course/750x422/50735_c4fd_46.jpg
Marketing Analytics: Stand Out by Becoming an Analytics Pro!,1433060,4.5,15415,3845,5 hours,English,Paid,Joseph @ Wisdify,174878764,1,59,2017-11-15,2019-04-19,1999.0,449.0,Beginner Level,Marketing,Marketing Strategy,Yes,"Marketing requires a new, analytical breed of professionals. Be at the forefront of your profession.",https://www.udemy.com/course/learn-marketing-analytics/,https://img-c.udemycdn.com/course/750x422/1433060_3165.jpg
Instagram Marketing 2022 | Grow Organic Followers Naturally!,2786494,4.41,118048,3743,1.5 hours,English,Paid,Skyler Chase,99154228,1,57,2020-02-17,2022-05-03,3399.0,449.0,All Levels,Marketing,Instagram Marketing,No,"Grow Organic Targeted Followers, Quick Brand Awareness, & Turn Page Visits Into Paying Customers w/ Instagram Marketing",https://www.udemy.com/course/2020-millennial-insta-marketing-grow-10k-organic-followers/,https://img-c.udemycdn.com/course/750x422/2786494_3de6_5.jpg
Content Marketing: Grow Your Business with Content Marketing,2295965,4.52,188817,3698,5.5 hours,English,Paid,Phil Ebiner and Video School,"317821, 19701574",2,61,2019-04-17,2022-07-29,799.0,449.0,All Levels,Marketing,Content Marketing,No,Learn how to use modern content marketing to grow your business and brand! Come up with your own Content Marketing plan!,https://www.udemy.com/course/content-marketing-for-beginners/,https://img-c.udemycdn.com/course/750x422/2295965_720a_3.jpg
VIP Digital Marketing Master Course : 31 Courses in 1,2570102,4.57,49894,3544,65 hours,English,Paid,Pouya Eti • Digital Marketing Expert,19739064,1,473,2019-10-30,2022-10-13,3499.0,449.0,All Levels,Marketing,Digital Marketing,Yes,"Digital Marketing Course : Instagram marketing, Facebook, SEO, Google ads, Youtube, Email & Mailchimp, Wordpress & ...",https://www.udemy.com/course/digital-marketing-course-social-media-best-instagram-facebook-seo/,https://img-c.udemycdn.com/course/750x422/2570102_2b71_2.jpg
