course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Deep Learning A-Z™: Hands-On Artificial Neural Networks,1151632,4.53,342813,41384,22.5 hours,English,Paid,Kirill Eremenko and Hadelin de Ponteves and Ligency I Team and Ligency Team,"2364054, 22113450, 27129696, 150405524",4,169,2017-03-28,2022-11-07,3499.0,449.0,All Levels,Development,Deep Learning,Yes,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,https://www.udemy.com/course/deeplearning/,https://img-c.udemycdn.com/course/750x422/1151632_de9b.jpg
Master Microservices with Spring Boot and Spring Cloud,1352468,4.56,194304,40355,22 hours,English,Paid,in28Minutes Official,13363166,1,260,2017-09-18,2022-11-02,3499.0,449.0,All Levels,Development,Microservices,Yes,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,https://img-c.udemycdn.com/course/750x422/1352468_3d97_8.jpg
SQL for Beginners: Learn SQL using MySQL and Database Design,1419182,4.53,127003,39267,8 hours,English,Paid,Tim Buchalka's Learn Programming Academy and Jon Avis - SQL Instructor,"35101150, 27451486",2,122,2017-11-11,2022-10-26,3399.0,449.0,Beginner Level,Development,SQL,No,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,https://www.udemy.com/course/sql-for-beginners-course/,https://img-c.udemycdn.com/course/750x422/1419182_b2cf.jpg
The Complete Oracle SQL Certification Course,866196,4.56,147028,38555,16.5 hours,English,Paid,Imtiaz Ahmad,7315098,1,71,2016-07-29,2021-11-07,3499.0,449.0,All Levels,IT & Software,Oracle SQL,Yes,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,https://img-c.udemycdn.com/course/750x422/866196_be1d.jpg
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",1026604,4.77,178725,38371,28 hours,English,Paid,Jonas Schmedtmann,7799204,1,126,2017-10-25,2022-11-07,3499.0,449.0,Intermediate Level,Development,CSS,Yes,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",https://www.udemy.com/course/advanced-css-and-sass/,https://img-c.udemycdn.com/course/750x422/1026604_790b_2.jpg
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",1879018,4.68,188000,36718,40.5 hours,English,Paid,Academind by Maximilian Schwarzmüller and Maximilian Schwarzmüller,"31926668, 13952972",2,543,2018-10-23,2022-11-03,3499.0,449.0,All Levels,Development,Express Framework,Yes,"Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",https://www.udemy.com/course/nodejs-the-complete-guide/,https://img-c.udemycdn.com/course/750x422/1879018_95b6_3.jpg
Understanding TypeScript - 2023 Edition,947098,4.67,175440,36534,15 hours,English,Paid,Maximilian Schwarzmüller,13952972,1,198,2016-09-12,2022-11-02,3499.0,449.0,All Levels,Development,Typescript,Yes,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",https://www.udemy.com/course/understanding-typescript/,https://img-c.udemycdn.com/course/750x422/947098_02ec_2.jpg
Complete C# Unity Game Developer 3D,1178124,4.75,191741,36482,30.5 hours,English,Paid,Ben Tristem and Rick Davidson and GameDev.tv Team and Gary Pettie,"4355282, 24317920, 33027212, 27472388",4,204,2017-09-27,2022-07-12,3499.0,449.0,All Levels,Development,C#,Yes,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",https://www.udemy.com/course/unitycourse2/,https://img-c.udemycdn.com/course/750x422/1178124_76bb_11.jpg
Apache Kafka Series - Learn Apache Kafka for Beginners v3,1075642,4.66,167996,34826,8.5 hours,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer and Conduktor Kafkademy","16122994, 176054272",2,120,2017-03-07,2022-11-01,3499.0,449.0,All Levels,Development,Apache Kafka,Yes,"START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",https://www.udemy.com/course/apache-kafka/,https://img-c.udemycdn.com/course/750x422/1075642_b6d2_10.jpg
Statistics for Data Science and Business Analysis,1298780,4.57,157350,34451,5 hours,English,Paid,365 Careers and 365 Careers Team,"8280056, 48349002",2,92,2017-07-28,2021-01-26,3499.0,449.0,All Levels,Development,Data Science,Yes,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,https://img-c.udemycdn.com/course/750x422/1298780_731f_4.jpg
