course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
YOUTUBE VIDEO CONTENT CREATORS - Follow the YouTube masters,1434912,4.86,5938,943,4.5 hours,English,Paid,Andrew St.Pierre White,10959416,1,29,2017-12-05,2020-10-29,3399.0,449.0,All Levels,Photography & Video,N/A,No,"It's the quality of the videos and understanding how content works with audiences, that leads to success on YouTube.",https://www.udemy.com/course/youtube-content-masterclass/,https://img-b.udemycdn.com/course/750x422/1434912_7715_5.jpg
Complete Graphics Design and Video Editing Masterclass,3604690,4.34,98103,938,10 hours,English,Paid,Stephen Koel Soren,43500372,1,77,2020-11-10,2022-07-28,3499.0,449.0,Beginner Level,Photography & Video,Video Editing,No,Combo Course of Adobe Premiere Pro CC and Adobe Photoshop CC for Learning Video Editing and Graphics Design,https://www.udemy.com/course/complete-graphics-design-and-video-editing-masterclass/,https://img-b.udemycdn.com/course/750x422/3604690_d66d.jpg
Cinematic Lighting,3063974,4.6,4640,926,5 hours,English,Paid,Neil Oseman,107286002,1,23,2020-05-21,2022-05-13,3499.0,449.0,Expert Level,Photography & Video,Cinematography,Yes,"The art of dramatic lighting, for cinematographers of independent films",https://www.udemy.com/course/cinematic-lighting/,https://img-b.udemycdn.com/course/750x422/3063974_c645_5.jpg
Adobe Lightroom For Beginners : Complete Photo/Image Editing,1565318,3.64,131351,902,1 hour,English,Paid,Creative Online School,19720974,1,12,2018-03-01,2018-02-26,3499.0,449.0,All Levels,Photography & Video,Adobe Lightroom,No,Step by step guideline for Absolute Beginners to master in Adobe Lightroom,https://www.udemy.com/course/mastering-adobe-lightroom/,https://img-b.udemycdn.com/course/750x422/1565318_e90d.jpg
Cinematic Wedding Films: A Guide to Wedding Videography,795960,4.38,3013,888,1 hour,English,Paid,Matti Haapoja,21301302,1,10,2016-03-30,2016-03-30,3299.0,449.0,All Levels,Photography & Video,Videography,No,A guide to making emotional cinematic wedding films that will take you to the next level as a filmmaker.,https://www.udemy.com/course/cinematic-wedding-films/,https://img-b.udemycdn.com/course/750x422/795960_90b7_2.jpg
"Filmmaking: Write, Direct and Distribute Your Feature Film",1213918,4.72,4565,872,7 hours,English,Paid,Paul Bright,31788796,1,93,2017-07-24,2020-11-09,3499.0,449.0,Intermediate Level,Photography & Video,Filmmaking,No,Skip Film School! Learn to be a Film Director and Distribute Your Movie Around the World,https://www.udemy.com/course/indiefilmmaking/,https://img-b.udemycdn.com/course/750x422/1213918_a773.jpg
Elevate Your Photography - Master Composition.,1424894,4.44,4187,852,2 hours,English,Paid,El Gale,37196254,1,13,2017-11-20,2017-11-19,2899.0,649.0,All Levels,Photography & Video,Photography,No,"Study 100 great photographs to learn their keys to success. An array of genres - landscape, travel, portrait, food..",https://www.udemy.com/course/elevate-your-photography/,https://img-b.udemycdn.com/course/750x422/1424894_e81c_8.jpg
Perspective: Photography tools that make your pictures POP,781444,4.65,3990,847,1 hour,English,Paid,Adam Marelli,4375790,1,9,2016-04-12,2016-04-11,799.0,449.0,All Levels,Photography & Video,Photography Composition,No,Learn 200 years of artistic innovation in less than two hours.  Transform flat pictures into 3D photos with Perspective.,https://www.udemy.com/course/perspective-photography-tools-that-make-your-pictures-pop-adam-marelli/,https://img-b.udemycdn.com/course/750x422/781444_19a5_2.jpg
DSLR Filmmaking: From Beginner to PRO!,1264702,4.57,2957,831,1.5 hours,English,Paid,Jordy Vandeput,7502200,1,24,2017-08-03,2017-06-24,2799.0,449.0,Beginner Level,Photography & Video,Filmmaking,No,"Just you, your DSLR and exciting camera techniques will take your filmmaking skills to the next level!",https://www.udemy.com/course/dslr-filmmaking-beginner-pro/,https://img-b.udemycdn.com/course/750x422/1264702_a848.jpg
The Art of Finding Light: Photography for the artist in you,313448,4.3,5231,826,1.5 hours,English,Paid,Adam Marelli,4375790,1,8,2014-10-22,2014-10-04,799.0,449.0,All Levels,Photography & Video,Photography,Yes,"Spotting great lighting is not a gift, it is Skill.  Become a photographer who knows how to find great light.",https://www.udemy.com/course/a-room-for-improvement-the-art-of-finding-light/,https://img-b.udemycdn.com/course/750x422/313448_831f_4.jpg
