id,title,url,instructor,image_url,price,rating
1566876,Understanding Blockchain Technology And Bitcoin,https://www.udemy.com/course/understanding-blockchain-technology-and-bitcoin/,Khaqan Chaudhry,https://img-b.udemycdn.com/course/125_H/1566876_b234.jpg?secure=JXWuXzrrJAJltiwxIVzaIw%3D%3D%2C1636836755,455 INR,3.5480213
2612156,ConnectE Social Media App in Android Studio - JAVA  Firebase,https://www.udemy.com/course/connecte-social-media-app-in-android-studio-java-firebase/,Farrukh Ehsan,https://img-c.udemycdn.com/course/125_H/2612156_f570_3.jpg,455 INR,3.6637456
3762668,Learn To Build Incredible AI Chatbots Using RASA,https://www.udemy.com/course/learn-to-build-incredible-ai-chatbots-using-rasa/,Sufa Digital Media,https://img-c.udemycdn.com/course/125_H/3762668_ea18_2.jpg,455 INR,4.4511743
4293262,Basics of Web Development in 3 Hours,https://www.udemy.com/course/basics-of-web-development/,Bihan Mahadewa,https://img-c.udemycdn.com/course/125_H/4293262_5150_3.jpg,455 INR,4.2964873
381988,Advanced jQuery Tips & Tricks for Developers & Designers,https://www.udemy.com/course/advanced-jquery-tips-tricks-for-developers-designers/,SkillBakery Studio,https://img-c.udemycdn.com/course/125_H/381988_88c5_3.jpg,455 INR,3.8710284
1382894,Using Cycles Render Engine in Blender 3D,https://www.udemy.com/course/using-cycles-render-engine-in-blender-3d/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/1382894_466b_2.jpg,455 INR,4.151425
1502794,Building PHP RESTful Web Services,https://www.udemy.com/course/building-php-restful-web-services/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/1502794_94b1_2.jpg,455 INR,3.5083835
1604418,AJAX API exercises JavaScript Trivia web application,https://www.udemy.com/course/ajax-api-exercises/,Laurence Svekis,https://img-c.udemycdn.com/course/125_H/1604418_524a.jpg,455 INR,4.5742054
2687422,Web Development Introduction,https://www.udemy.com/course/web-development-intro/,Scott Klink,https://img-c.udemycdn.com/course/125_H/2687422_f25d.jpg,455 INR,4.4670815
655066,JavaScript projects Welcome to the DOM Useful Code Snippets,https://www.udemy.com/course/learn-javascript-web-development-process-code-snippets-dom/,Laurence Svekis,https://img-c.udemycdn.com/course/125_H/655066_0fd7.jpg,455 INR,3.870993
1176892,A Comprehensive Guide to NLTK in Python: Volume 1,https://www.udemy.com/course/a-comprehensive-guide-to-nltk-in-python-volume-1/,Mike West,https://img-b.udemycdn.com/course/125_H/1176892_1c2d_3.jpg?secure=-PvgcxJBEV9QRStp55zOZw%3D%3D%2C1636870691,455 INR,3.8505356
3141598,A Complete 2021 Guide to a Stunning Web Design using Wix,https://www.udemy.com/course/diyyourwebsite/,Chantau Cherriton,https://img-c.udemycdn.com/course/125_H/3141598_9536_2.jpg,455 INR,4.476904
3394824,"Angular Material, Universal: A Rapid Guide - Advanced",https://www.udemy.com/course/angular-influencer/,Antonio Papa,https://img-c.udemycdn.com/course/125_H/3394824_a8a0.jpg,455 INR,4.35725
3433054,Getting Started with Wappler™ 3.,https://www.udemy.com/course/getting-started-with-wappler/,Ken Truesdale,https://img-b.udemycdn.com/course/125_H/3433054_52bb_2.jpg?secure=WYXEv_Ohawh3YVitYoWFtw%3D%3D%2C1636870691,1920 INR,3.9653652
3535406,Batch Processing with Apache Beam in Python,https://www.udemy.com/course/apache-beam-python/,Alexandra Abbas,https://img-c.udemycdn.com/course/125_H/3535406_1889_2.jpg,455 INR,4.4601016
874476,Design Patterns With C# (Real World Samples),https://www.udemy.com/course/design-patterns-c-sharp/,Can Perk,https://img-b.udemycdn.com/course/125_H/874476_4eb5_3.jpg?secure=EHjqFTBE4NWZELDCE5ghhA%3D%3D%2C1636860764,455 INR,3.9145937
1648566,SQL database foundation: what your employer expects from you,https://www.udemy.com/course/sql-database-foundation/,Cristi Constantin,https://img-c.udemycdn.com/course/125_H/1648566_aa07_2.jpg,455 INR,4.604719
1482458,Lazy Trading Part 6: Detect Market status with AI,https://www.udemy.com/course/detect-market-status-with-ai/,Vladimir Zhbanko and Miguel Ferraz,https://img-c.udemycdn.com/course/125_H/1482458_b22f_4.jpg,455 INR,3.9678373
1781704,Develop and Operate Microservices on Kubernetes,https://www.udemy.com/course/develop-and-operate-microservices-on-kubernetes/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/1781704_4dbc_2.jpg,455 INR,4.5501895
1262650,Web Scraping with JavaScript & Node.js,https://www.udemy.com/course/fetching-and-processing-data-from-websites/,Adrian Bienias,https://img-c.udemycdn.com/course/125_H/1262650_45b5_2.jpg,455 INR,3.9593391
2577342,JavaScript: The Modern Engine Parts,https://www.udemy.com/course/javascript-the-modern-engine-parts/,The Code WareHouse,https://img-c.udemycdn.com/course/125_H/2577342_c750_3.jpg,455 INR,4.0935545
2037624,Angular 7 : Practical Guide [11 Hours],https://www.udemy.com/course/angular-the-ultimate-guide/,Eduonix Learning Solutions and Arseniy Chernykh and Eduonix-Tech .,https://img-c.udemycdn.com/course/125_H/2037624_3dc5.jpg,455 INR,4.090262
1772414,The 2019 Front End Web Development,https://www.udemy.com/course/webdevelopment2019/,Devansh Varshney,https://img-c.udemycdn.com/course/125_H/1772414_2d0a.jpg,455 INR,4.272342
2298480,The Gradle Crash Course 2020 (with Groovy),https://www.udemy.com/course/the-gradle-crash-course/,Vaga Notes,https://img-c.udemycdn.com/course/125_H/2298480_ae2c_3.jpg,455 INR,3.5521066
1673648,Become a Hadoop 2.x Administrator: Hadoop 2.x Administration,https://www.udemy.com/course/become-a-hadoop-2x-administrator-hadoop-2x-administration/,Edulearners Technologies,https://img-b.udemycdn.com/course/125_H/1673648_1658_4.jpg?secure=tkOVmsa9fuOWJLFm2ePsFw%3D%3D%2C1636870691,455 INR,2.789645
3217933,Deno For Web Developers,https://www.udemy.com/course/deno-for-web-developers/,Simple Coder,https://img-c.udemycdn.com/course/125_H/3217933_8d01_12.jpg,455 INR,4.175133
4289586,Rust for Beginners,https://www.udemy.com/course/rust-programming-language-z/,ProgLang MainSt.,https://img-c.udemycdn.com/course/125_H/4289586_9f7a_2.jpg,455 INR,4.3363223
3735544,Angular and NestJS: A Practical Guide with Docker,https://www.udemy.com/course/nest-admin/,Antonio Papa,https://img-c.udemycdn.com/course/125_H/3735544_c4a6_2.jpg,455 INR,4.0438395
3641544,Angular and Django: A Practical Guide with Docker,https://www.udemy.com/course/angular-django-admin/,Antonio Papa,https://img-c.udemycdn.com/course/125_H/3641544_d9ae.jpg,455 INR,4.259229
3641544,Angular and Django: A Practical Guide with Docker,https://www.udemy.com/course/angular-django-admin/,Antonio Papa,https://img-c.udemycdn.com/course/125_H/3641544_d9ae.jpg,455 INR,4.259229
2475066,Gatsby.js for beginners,https://www.udemy.com/course/gatsbyjs-for-beginners/,Bluelime Learning Solutions,https://img-c.udemycdn.com/course/125_H/2475066_ac6c.jpg,455 INR,3.6238244
1226282,.NET Continuous Integration with TeamCity,https://www.udemy.com/course/devops-teamcity/,Amr Swalha,https://img-c.udemycdn.com/course/125_H/1226282_5c74_4.jpg,455 INR,4.0463443
1784854,Learn To Build Apps Using NodeJS and Angular,https://www.udemy.com/course/learn-to-build-apps-using-nodejs-and-angular/,Eduonix Learning Solutions and Eduonix-Tech .,https://img-c.udemycdn.com/course/125_H/1784854_d062.jpg,455 INR,4.005846
1393004,Create Charts In Xamarin Forms,https://www.udemy.com/course/create-charts-in-xamarin-forms/,Asfend Yar Hamid,https://img-c.udemycdn.com/course/125_H/1393004_d136_4.jpg,455 INR,3.740177
3279738,Statistics & Probability for Data Science & Machine Learning,https://www.udemy.com/course/statistics-probability-for-data-science-machine-learning/,Rahul Tiwari,https://img-c.udemycdn.com/course/125_H/3279738_885a_3.jpg,455 INR,4.7929645
3216285,Angular and Laravel: A Practical Guide with Docker,https://www.udemy.com/course/angular-laravel-admin/,Antonio Papa,https://img-c.udemycdn.com/course/125_H/3216285_3e70_5.jpg,455 INR,4.0457993
1317340,Create Cross Platform Native Mobile Applications with Fuse,https://www.udemy.com/course/create-cross-platform-native-mobile-applications-with-fuse/,Paul Halliday (BSc Hons),https://img-b.udemycdn.com/course/125_H/1317340_109a.jpg?secure=9ZqUewhNaZdj5BQMQ6Vo4w%3D%3D%2C1636833422,455 INR,4.3423324
1344506,Make your first 2D & 3D games in Unity® & Blender,https://www.udemy.com/course/make-your-first-2d-3d-games-in-unity-blender/,Mammoth Interactive and John Bura,https://img-c.udemycdn.com/course/125_H/1344506_e6d1_2.jpg,455 INR,4.367303
1578456,ASP.NET MVC for Beginners Step-by-Step,https://www.udemy.com/course/aspnet-mvc-for-beginners-step-by-step/,Jason Bentley,https://img-b.udemycdn.com/course/125_H/1578456_4521_2.jpg?secure=jHZ5xg5ZqDxxN_VuuiHrVw%3D%3D%2C1636859680,455 INR,4.306694
