course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
AWS Certified Data Analytics Specialty 2022 - Hands On!,2253706,4.66,81037,11453,16.5 hours,English,Paid,"Sundog Education by Frank Kane and Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer and Frank Kane and Sundog Education Team","13148312, 16122994, 32164746, 168079506",4,183,2019-04-01,2022-11-01,3499.0,449.0,Intermediate Level,IT & Software,AWS Certification,Yes,"Practice exam included! AWS DAS-C01 certification prep course with exercises. Kinesis, EMR, DynamoDB, Redshift and more!",https://www.udemy.com/course/aws-data-analytics/,https://img-c.udemycdn.com/course/750x422/2253706_e6ff_10.jpg
Microsoft Windows Server 2016 Training for Beginners,972974,4.55,58703,10934,6.5 hours,English,Paid,Paul Hill,18281896,1,72,2016-11-27,2020-09-14,3499.0,449.0,All Levels,IT & Software,Windows Server,No,"Install Windows Server 2016, Build a Windows Domain, Domain Controller, Learn DHCP, Install Windows 10, and much more...",https://www.udemy.com/course/windows-server-2016/,https://img-c.udemycdn.com/course/750x422/972974_ee7f_2.jpg
Linux Shell Scripting: A Project-Based Approach to Learning,1349660,4.53,80889,10891,12.5 hours,English,Paid,Jason Cannon,278531,1,49,2017-09-28,2022-11-01,3499.0,449.0,All Levels,IT & Software,Shell Scripting,Yes,"Learn how to shell script through project-based training (Bash Scripting, Bash Programming, Sed, Grep, Awk, and More)",https://www.udemy.com/course/linux-shell-scripting-projects/,https://img-c.udemycdn.com/course/750x422/1349660_ecfb_4.jpg
OpenShift for the Absolute Beginners - Hands-on,1685508,4.45,55353,10640,3 hours,English,Paid,Mumshad Mannambeth and KodeKloud Training,"31303958, 61457358",2,42,2018-05-10,2022-04-15,3499.0,449.0,Beginner Level,IT & Software,OpenShift,Yes,"Get started with OpenShift quickly with lectures, demos, quizzes and hands-on coding exercises right in your browser",https://www.udemy.com/course/learn-openshift/,https://img-c.udemycdn.com/course/750x422/1685508_5cbe_4.jpg
Tableau Data Analyst/Specialist Desktop Certification,1676310,4.57,46385,10591,15 hours,English,Paid,Phillip Burton and I Do Data Limited,"12861544, 114229656",2,173,2018-06-06,2022-11-08,3499.0,449.0,Beginner Level,IT & Software,Tableau,Yes,"From beginners to skills needed for Data Analyst or Desktop Specialist certifications. Tableau 2022, 2021, 2020, 2019",https://www.udemy.com/course/tableau-2018-tableau-10-qualified-associate-certification/,https://img-c.udemycdn.com/course/750x422/1676310_1e70_7.jpg
Master Microsoft PowerShell,915782,4.48,41427,10431,2 hours,English,Paid,Tom Meservy,22300320,1,31,2016-08-05,2016-08-05,1299.0,449.0,Beginner Level,IT & Software,PowerShell,No,Unleash the Power of PowerShell. Amazing skills for anyone that deals with IT.,https://www.udemy.com/course/master-microsoft-powershell/,https://img-c.udemycdn.com/course/750x422/915782_5dda.jpg
Snowflake Decoded - Fundamentals and hands on Training,2350762,4.47,37020,10345,4.5 hours,English,Paid,Hamid Qureshi,22618012,1,65,2019-10-08,2021-01-24,799.0,449.0,Intermediate Level,IT & Software,Snowflake,No,Master the Fundamental Snowflake concepts & acquire the necessary skills to start implementing Snowflake based solutions,https://www.udemy.com/course/snowflake-essentials/,https://img-c.udemycdn.com/course/750x422/2350762_06e7_21.jpg
Introduction to Computer Networks for Non-Techies,580876,4.66,50762,10287,18 hours,English,Paid,"Alton Hardin | 100,000+ Enrollments Worldwide and Alton Teaches LLC","10099014, 183432828",2,206,2015-09-02,2022-09-12,3299.0,449.0,All Levels,IT & Software,Computer Network,Yes,Learn the Fundamentals of Computer Networking for Non-Techies,https://www.udemy.com/course/introduction-to-computer-networks/,https://img-c.udemycdn.com/course/750x422/580876_a07a_2.jpg
Azure Fundamentals: AZ-900 Certification +Practice Questions,2471980,4.51,35678,10282,7 hours,English,Paid,Kevin Brown,20744494,1,131,2019-08-15,2022-03-01,999.0,449.0,Beginner Level,IT & Software,Microsoft AZ-900,No,Course update: September 2022,https://www.udemy.com/course/azure-fundamentals-az-900-certification/,https://img-c.udemycdn.com/course/750x422/2471980_d399.jpg
AWS Certified Solutions Architect Associate Practice Exams,1878624,4.62,83334,10180,390 questions,English,Paid,"Neal Davis | AWS Certified Solutions Architect & Developer and Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","23565832, 62618740",2,0,2018-08-28,2022-10-04,1299.0,449.0,All Levels,IT & Software,AWS Certification,No,2022 AWS Certified Solutions Architect Associate Practice Tests (SAA-C03) + Exam Simulator + Explanations + Cheat Sheets,https://www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests-k/,https://img-c.udemycdn.com/course/750x422/1878624_71af_16.jpg
Linux for Beginners,149910,4.55,40906,10041,8 hours,English,Paid,Jason Cannon,278531,1,77,2014-02-25,2022-11-01,3299.0,449.0,All Levels,IT & Software,Linux,No,An Introduction to the Linux Operating System and Command Line,https://www.udemy.com/course/linuxforbeginners/,https://img-c.udemycdn.com/course/750x422/149910_25f7_7.jpg
Azure Architect Technologies,2059535,4.56,55233,10016,27.5 hours,English,Paid,Alan Rodrigues,25858272,1,319,2018-12-05,2022-11-02,3499.0,449.0,All Levels,IT & Software,Microsoft Azure,Yes,This course is to help students learn about Microsoft Azure Architect Technologies,https://www.udemy.com/course/az-102-azure-administrator-certification-transition/,https://img-c.udemycdn.com/course/750x422/2059535_bde3_3.jpg
Active Directory & Group Policy Lab,700114,4.58,53131,9843,7 hours,English,Paid,Paul Hill,18281896,1,74,2016-02-18,2020-05-20,3499.0,449.0,All Levels,IT & Software,Active Directory,Yes,Learn REAL job skills and stack your resume with the experience you will gain in this course!,https://www.udemy.com/course/active-directory-group-policy-2012/,https://img-c.udemycdn.com/course/750x422/700114_3644_2.jpg
AWS Certified DevOps Engineer Professional 2022 - Hands On!,2533568,4.66,85585,9862,20.5 hours,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",16122994,1,225,2019-09-26,2022-11-01,3499.0,449.0,Intermediate Level,IT & Software,AWS Certified DevOps Engineer - Professional,Yes,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C01) with 20 hours of advanced hands-on videos.,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,https://img-c.udemycdn.com/course/750x422/2533568_2828_6.jpg
React basic in just 1 hour [2022],837094,4.41,122533,9383,1 hour,English,Paid,Leo Trieu,5566613,1,17,2016-05-03,2021-06-27,799.0,449.0,Beginner Level,IT & Software,React JS,No,The quick guide to learn basic concepts and workflow of how to build React app,https://www.udemy.com/course/react-basic-in-just-1-hour/,https://img-c.udemycdn.com/course/750x422/837094_75da_2.jpg
Practice Exams | AWS Certified Solutions Architect Associate,2597160,4.65,103110,9357,390 questions,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer and Abhishek Singh | 9x AWS","16122994, 94372896",2,0,2020-04-30,2022-11-08,2299.0,449.0,Beginner Level,IT & Software,AWS Certification,No,Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!,https://www.udemy.com/course/practice-exams-aws-certified-solutions-architect-associate/,https://img-c.udemycdn.com/course/750x422/2597160_2ac8_6.jpg
Complete Ethical Hacking Bootcamp 2023: Zero to Mastery,3291970,4.66,63503,9355,28.5 hours,English,Paid,Andrei Neagoie and Aleksa Tamburkovski and Zero To Mastery,"38516954, 54119954, 173002169",3,254,2020-11-05,2022-11-01,3499.0,449.0,All Levels,IT & Software,Ethical Hacking,No,Learn Ethical Hacking + Penetration Testing! Use real techniques by black hat hackers then learn to defend against them!,https://www.udemy.com/course/complete-ethical-hacking-bootcamp-zero-to-mastery/,https://img-c.udemycdn.com/course/750x422/3291970_afb5_2.jpg
Information Security Management Fundamentals for Non-Techies,805864,4.65,30063,9188,10 hours,English,Paid,"Alton Hardin | 100,000+ Enrollments Worldwide and Alton Teaches LLC","10099014, 183432828",2,132,2016-03-29,2022-11-05,3299.0,449.0,Beginner Level,IT & Software,Information Management,Yes,Learn the Fundamentals of Information Security Management for Non-Techies,https://www.udemy.com/course/information-security-fundamentals/,https://img-c.udemycdn.com/course/750x422/805864_659d_4.jpg
Programming for Kids and Beginners: Learn to Code in Scratch,1157688,4.67,31360,9165,7.5 hours,English,Paid,Daniel Ciocîrlan,27329018,1,38,2017-04-05,2022-04-06,2299.0,449.0,Beginner Level,IT & Software,Coding For Kids,Yes,"Learn to program, create games, have fun in Scratch! For parents and teachers of future coders",https://www.udemy.com/course/programming-for-kids/,https://img-c.udemycdn.com/course/750x422/1157688_09aa_3.jpg
