course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Perfect English Pronunciation: British English,909542,4.69,29726,5016,4 hours,English,Paid,Anthony Kelleher,8910694,1,45,2016-09-12,2022-02-04,1699.0,449.0,All Levels,Teaching & Academics,English Pronunciation,Yes,Learn English pronunciation from a native British speaker to take your accent to the next level,https://www.udemy.com/course/perfect-pronunciation-british-english/,https://img-b.udemycdn.com/course/750x422/909542_eca2_2.jpg
German Made Simple: A Complete Course for Serious Learners,339906,4.54,37178,4993,5 hours,English,Paid,Ingo Depner,8567114,1,88,2015-01-21,2022-07-24,3499.0,449.0,Beginner Level,Teaching & Academics,German Language,No,"Learn to speak, write and understand German quickly and easily in order to achieve your personal and professional goals.",https://www.udemy.com/course/german-made-simple/,https://img-b.udemycdn.com/course/750x422/339906_c888_4.jpg
American English Pronunciation,854440,4.67,19907,4955,3 hours,English,Paid,Luke Priddy,22274190,1,18,2016-06-06,2021-11-10,1699.0,449.0,All Levels,Teaching & Academics,English Pronunciation,No,"Master basic English sounds and start speaking like an American, with confidence!",https://www.udemy.com/course/basic-american-pronunciation/,https://img-b.udemycdn.com/course/750x422/854440_bf0a_5.jpg
The economic model of emerging countries - Michael Spence,398980,4.5,9413,4688,1.5 hours,English,Paid,EDOOTV - The knowledge dispenser,7555784,1,20,2015-01-20,2015-05-25,999.0,999.0,Beginner Level,Teaching & Academics,Economics,No,Understanding Economics. Learn how the world works and why it is the way it it.,https://www.udemy.com/course/the-economic-model-of-emerging-countries-michael-spence/,https://img-b.udemycdn.com/course/750x422/398980_ffe8.jpg
Critical Thinker Academy: Learn to Think Like a Philosopher,43540,4.53,59098,4666,19.5 hours,English,Paid,Kevin deLaplante,334353,1,207,2013-11-01,2020-07-01,3499.0,449.0,All Levels,Teaching & Academics,Critical Thinking,Yes,"How to improve your grades, advance in your job and expand your mind -- by learning how to think for yourself!",https://www.udemy.com/course/critical-thinker-academy/,https://img-b.udemycdn.com/course/750x422/43540_4011_5.jpg
Learn Japanese for Beginners: The Ultimate 100-Lesson Course,1273074,4.69,29435,4605,8 hours,English,Paid,Innovative Language,424137,1,100,2017-07-13,2018-03-26,999.0,449.0,Beginner Level,Teaching & Academics,Japanese Language,No,"You learn Japanese minutes into your first lesson. Learn to speak, read and write with 100 lessons by real teachers",https://www.udemy.com/course/learn-japanese-for-beginners/,https://img-b.udemycdn.com/course/750x422/1273074_27e0_4.jpg
"Electricity & electronics - Robotics, learn by building",655940,4.72,30574,4598,10.5 hours,English,Paid,Ian Juby,9354286,1,59,2016-03-17,2022-08-23,3399.0,449.0,All Levels,Teaching & Academics,Robotics,Yes,"Over 29,000 enrolled! Open career opportunities and have fun learning electronics focused on building robots/automation!",https://www.udemy.com/course/analog-electronics-robotics-learn-by-building/,https://img-b.udemycdn.com/course/750x422/655940_ef77_2.jpg
"Master Native English | Speaking Skills, Grammar, and More",2659020,4.64,21271,4427,15.5 hours,English,Paid,Luke Priddy,22274190,1,170,2019-11-19,2019-11-17,3499.0,449.0,Intermediate Level,Teaching & Academics,English Language,No,Achieve English mastery and fluency in this journey through the English language. Each lesson is filled with examples.,https://www.udemy.com/course/master-native-english/,https://img-c.udemycdn.com/course/750x422/2659020_8b66_5.jpg
360 useful English phrases for business meetings,1107900,4.38,13472,4352,3 hours,English,Paid,9 to 12,6188020,1,58,2017-02-21,2017-02-21,799.0,449.0,Intermediate Level,Teaching & Academics,Business English,No,Learn more than 360 phrases you can use in more than 50 different situation in business meeting and everyday situations.,https://www.udemy.com/course/360-english-phrases-for-meetings/,https://img-c.udemycdn.com/course/750x422/1107900_5aad.jpg
English Grammar Launch Advanced: Upgrade your speaking,1104118,4.57,30344,4290,6 hours,English,Paid,Anthony Kelleher,8910694,1,77,2017-02-17,2022-02-04,1699.0,449.0,Expert Level,Teaching & Academics,English Grammar,No,"Learn English grammar, speaking and listening skills and become more fluent learning from a native English teacher",https://www.udemy.com/course/english-grammar-launch-advanced/,https://img-c.udemycdn.com/course/750x422/1104118_7809.jpg
Workshop in Probability and Statistics,116286,4.57,30775,4136,22 hours,English,Paid,George Ingersoll,2373174,1,74,2014-01-09,2020-04-25,1699.0,449.0,All Levels,Teaching & Academics,Probability,No,This workshop will teach you the fundamentals of statistics in order to give you a leg up at work or in school.,https://www.udemy.com/course/statshelp/,https://img-c.udemycdn.com/course/750x422/116286_a3bd_10.jpg
Learn Social Psychology,497736,4.37,21617,4000,5 hours,English,Paid,"Andrew Luttrell, Ph.D.",12056666,1,69,2015-06-01,2020-09-21,3299.0,449.0,All Levels,Teaching & Academics,Social Psychology,Yes,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology",https://www.udemy.com/course/social-psychology/,https://img-c.udemycdn.com/course/750x422/497736_5c54.jpg
