course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
SINGING SIMPLIFIED #1: The Fast-Track to Singing Like a Pro,1516474,4.76,32029,3999,3 hours,English,Paid,Steve Glazer,41487166,1,57,2018-02-26,2022-08-19,3399.0,649.0,Beginner Level,Music,Singing,Yes,"Find your unique voice naturally, while having FUN doing it!  A modern approach to singing lessons & vocal training.",https://www.udemy.com/course/singing-simplified/,https://img-c.udemycdn.com/course/750x422/1516474_7722.jpg
Game Music Composition: Make Music For Games From Scratch,953366,4.58,26600,3941,20 hours,English,Paid,Karleen Heong,14973724,1,164,2016-12-08,2022-10-27,5200.0,649.0,All Levels,Music,Game Music,Yes,"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",https://www.udemy.com/course/gamemusiccourse/,https://img-c.udemycdn.com/course/750x422/953366_6d67.jpg
Acoustic Guitar and Electric Guitar Lessons: Getting Started,41884,4.6,104364,3764,4 hours,English,Paid,Erich Andreas,603974,1,28,2013-05-29,2022-06-08,799.0,529.0,Beginner Level,Music,Guitar,No,"Acoustic Guitar Theory, Fingerpicking, Fretting, Chords: Most Important 25 Videos For Getting Started w/ Playing Guitar",https://www.udemy.com/course/getting-started-with-playing-guitar/,https://img-c.udemycdn.com/course/750x422/41884_8039_7.jpg
Learn piano or keyboard from scratch - Complete piano course,1111630,4.82,32906,3740,25 hours,English,Paid,Martin Cohen,27222306,1,238,2017-05-31,2022-11-02,5200.0,649.0,All Levels,Music,Piano,No,"Piano lessons/ keyboard lessons for beginners. Play piano by ear, chords, reading music, improvisation, music theory",https://www.udemy.com/course/learn-to-play-the-piano-from-scratch/,https://img-c.udemycdn.com/course/750x422/1111630_c4ba_5.jpg
"Ultimate Ableton Live 10 COMPLETE: Parts 1, 2, and 3",1592962,3.92,14131,3413,8 hours,English,Paid,Jason Allen,913001,1,106,2018-03-14,2022-04-12,3199.0,649.0,All Levels,Music,Ableton Live,No,"Learning Ableton Live 10 Suite through tutorials, tracks, and more. Learn the Live software download quickly and easily!",https://www.udemy.com/course/ableton-live-10-complete/,https://img-c.udemycdn.com/course/750x422/1592962_53fb_3.jpg
How To Sing #1: Complete Vocal Warm ups & Voice Physiology,450918,4.58,26888,3411,2.5 hours,English,Paid,Roma Waterman,10664956,1,52,2015-05-13,2022-11-02,4299.0,649.0,All Levels,Music,Singing,No,Singing Lessons for Vocal Warm Up Tips & Voice Essentials,https://www.udemy.com/course/singing-lessons-online/,https://img-c.udemycdn.com/course/750x422/450918_4af0_3.jpg
"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3",890884,4.0,14421,3398,8.5 hours,English,Paid,Jason Allen,913001,1,92,2016-06-29,2022-04-12,3399.0,649.0,Beginner Level,Music,Ableton Live,No,"Learning Ableton Live the right way: From the basics to the advanced, from Ableton Certified Trainer J. Anthony Allen.",https://www.udemy.com/course/ultimate-ableton-live-complete/,https://img-c.udemycdn.com/course/750x422/890884_814e_2.jpg
Ableton Live 11 - Music Production in Ableton Live,3626878,4.73,15061,3287,20.5 hours,English,Paid,Tomas George and Ian Alexander and Digital Music Masters,"23566298, 49549822, 45765646",3,197,2021-02-07,2022-11-04,5200.0,649.0,All Levels,Music,Ableton Live,Yes,"Learn Music Production, Recording, Editing, Music Mixing, Songwriting + Music Theory in this Ableton Live 11 Course",https://www.udemy.com/course/ableton-live-11-course/,https://img-c.udemycdn.com/course/750x422/3626878_3aa3_5.jpg
"Music Theory Comprehensive Complete: Part 4, 5, & 6",1148430,4.79,41185,3111,10 hours,English,Paid,Jason Allen,913001,1,139,2017-03-18,2022-04-12,3899.0,649.0,Intermediate Level,Music,Music Theory,No,"Learn music theory through this music theory course app, music theory exercises, and music theory tutorials.",https://www.udemy.com/course/music-theory-comprehensive-combined-part-4-5-6/,https://img-c.udemycdn.com/course/750x422/1148430_c2a8_4.jpg
Elite Singing Techniques - Phase I,70030,4.7,10725,2911,6 hours,English,Paid,Eric Arceneaux,972418,1,107,2013-08-05,2019-09-06,3399.0,3399.0,All Levels,Music,Singing,No,"Step by step singing system proven to develop great technique and vocal mastery, Results are immediate!",https://www.udemy.com/course/elite-singing-techniques-phase-1/,https://img-c.udemycdn.com/course/750x422/70030_c4e7_8.jpg
